sifra,naziv,placa,lokacija,opis
321123,ADMINISTRATIVNA DELA,4.70 €/h neto (5.56 €/h bruto),LJUBLJANA,"Pričakujejo: zaklj. let. ali absol. ekon. ali tehn. izobr., zaželene izkušnje pri admin. delih, dobro znanje MS Office orodij, zaželene izkušnje z MS CRM, dobre komunik. in org. sposobnosti. Delo bo: različna admin. del, poudarek na prodaji in marketingu, opravljanje različnih kontrol in evidenc, delo s posl. partnerji in sodelavci, priprava prodajnega materiala. Nudijo: razgibano in zanimivo delo, odlične razvojne možnosti, fiksno+stimulativno plačilo, zaposlitev v uspešnem rastočem podjetju.Št. prostih mest: 1 . Trajanje: DLJE ČASA (OBČASNO) . Delovnik: Dopoldan. Šifra: 321123 . Narava dela: začasno in občasno delo "
321119,STREŽBA HRANE IN PIJAČE,4.65 €/h neto (5.50 €/h bruto),KRANJ,Picerija in restavracija išče osebe za delo v strežbi. Obvezne izkušnje.Št. prostih mest: 3 . Trajanje: DLJE ČASA (OBČASNO) . Delovnik: Izmensko. Šifra: 321119 . Narava dela: začasno in občasno delo 
321118,POMOČ V STREŽBI,6.00 €/h neto (7.10 €/h bruto),ŠMARJE SAP,"Potrebujejo polnoletno osebo za delo v strežbi. Zaželene so izkušnje, niso pa pogoj.Št. prostih mest: 1 . Trajanje: PO DOGOVORU . Delovnik: Po dogovoru. Šifra: 321118 . Narava dela: začasno in občasno delo "
321112,DELO V KUHINJIRAZVOZ HRANE,PO DOGOVORU...,PTUJ Z OKOLICO,"Podjetje potrebuje polnoletno in zanesljivo osebo za delo in pomoč v kuhinji ter dostavi hrane. Pogoja; starost nad 20 let in izpit B kategorije. Dela se pretežno v popoldanskem času, s pričetkom ob 14. uri, nedelje so proste. Interesenti naj pokličejo na kontakt podjetja.Št. prostih mest: 1 . Trajanje: DLJE ČASA (OBČASNO) . Delovnik: Popoldan. Šifra: 321112 . Narava dela: začasno in občasno delo "
321111,POMOČ PRI PRODAJI,4.70 €/h neto (5.56 €/h bruto),LJUBLJANA,"Podjetje išče polnoletno, pošteno, pridno, prijazno, zanesljivo osebo za delo v trgovini (prodaja za Loterijo in trafiko). Zaželene so izkušnje in obvezna praksa z blagajno.Št. prostih mest: 1 . Trajanje: DLJE ČASA (OBČASNO) . Delovnik: Med vikendom. Šifra: 321111 . Narava dela: začasno in občasno delo "
321109,DELO V PROIZVODNJI,4.56 €/h neto (5.40 €/h bruto),SLOVENJ GRADEC,Podjetje potrebuje osebe za delo v proizvodnji - pomoč pri pakiranju. Prijave pošljite na e-mail podjetja.Št. prostih mest: 5 . Trajanje: OD 1. 8.  DO 31. 8. 2020 . Delovnik: Izmensko. Šifra: 321109 . Narava dela: začasno in občasno delo 
321108,FIGURANT,5.50 €/h neto (6.51 €/h bruto),LITIJA,Podjetje potrebuje figuranta za pomoč pri opravljanju geodetskih del na terenu.Št. prostih mest: 1 . Trajanje: PO DOGOVORU . Delovnik: Dopoldan. Šifra: 321108 . Narava dela: začasno in občasno delo 
321096,DELO V PROIZVODNJILAŽJA FIZIČNA DELA,4.87 €/h neto (5.76 €/h bruto),PTUJ,"Podjetje potrebuje več polnoletnih oseb za enostavna pomožna dela v proizvodnji (vijačenje, brušenje, sestavljanje). Pogoji: ročne spretnosti, vsega ostalega se da priučiti. Delo poteka po potrebi, v dopoldanskem ali popoldanskem času. Interesenti naj pokličejo ali pošljejo vlogo na kontakt podjetja.Št. prostih mest: 5 . Trajanje: OD 10. 8. 2020 DALJE, PO POTREBI IN DOGOVORU . Delovnik: Po dogovoru. Šifra: 321096 . Narava dela: začasno in občasno delo "
321094,ČIŠČENJE,5.50 €/h neto (6.51 €/h bruto),MARIBOR,Podjetje potrebuje dve osebi za čiščenje avtomobilov. Pogoj je vozniški izpit b kategorije.Št. prostih mest: 2 . Trajanje: PO DOGOVORU . Delovnik: Dopoldan. Šifra: 321094 . Narava dela: začasno in občasno delo 
321083,FIZIČNA DELA,5.00 €/h neto (5.92 €/h bruto),LOGATEC,Podjetje išče osebi za nezahtevna fizična dela na deponiji.Št. prostih mest: 2 . Trajanje: DLJE ČASA (OBČASNO) . Delovnik: Dopoldan. Šifra: 321083 . Narava dela: začasno in občasno delo 
321082,STREŽBA HRANE IN PIJAČE,6.00 €/h neto (7.10 €/h bruto),KRANJSKA GORA,"Mlad, simpatičen kolektiv v svojo sredino vabi študentko/ta za delo v strežbi. Pogoj: izkušnje pri strežbi hrane in pijače in pripravljenost za timsko delo. Pričetek dela takoj! Z njimi vam bo luštno.Št. prostih mest: 1 . Trajanje: PO DOGOVORU . Delovnik: Izmensko. Šifra: 321082 . Narava dela: začasno in občasno delo "
321081,STREŽBA,5.00 €/h neto (5.92 €/h bruto),ŠMARCA - KAMNIK,"Točilnica v svojo ekipo vabi osebe, željne znanja o pivu in novih izkušenj. V svoji ekipi si želijo samoinciativnih, delavnih in poštenih točajev. Nudijo stimulativno delo v prijetnem okolju. Izkušnje v strežbi niso pogoj, so pa zaželene.Št. prostih mest: 3 . Trajanje: PO DOGOVORU . Delovnik: Popoldan. Šifra: 321081 . Narava dela: začasno in občasno delo "
321071,PREVAJANJE,6.00 €/h neto (7.10 €/h bruto),KRANJ,"Iščejo osebo, ki ima znanje češčine in po možnosti slovaščine za prevajanje vsebin in pomoč pri komunikaciji s kupci. Za prijavo in dodatne informacije pošljite CV na e-mail naslov.Št. prostih mest: 1 . Trajanje: DLJE ČASA (OBČASNO) . Delovnik: Dopoldan. Šifra: 321071 . Narava dela: začasno in občasno delo "
321070,PROGRAMIRANJE,10.00 €/h neto (11.83 €/h bruto),KRANJ,"Iščejo osebo za programiranje spletne strani. Pričakujejo vsaj 1-2. leti izkušenj kot frontend web developer. Odlično znanje: HTML5, CSS3 in JavaScript (predvsem jQuery), Bootstrap 3 itd. Za prijavo pošljite svoj CV z dosedanjimi izkušnjami na e-mail naslov.Št. prostih mest: 1 . Trajanje: DLJE ČASA (OBČASNO) . Delovnik: Dopoldan. Šifra: 321070 . Narava dela: začasno in občasno delo "
321069,PREVAJANJE,8.45 €/h neto (10.00 €/h bruto),LJUBLJANA,"Mlad kolektiv išče novo sodelavko(ca) z odličnim znanjem MADŽARŠČINE (zaželeno native speaker), ki bi pomagala urejati Google Ads kampanje, pomagala pri prevodu spletne strani in člankov. Ob delu se lahko veliko nauči o spletnem marketingu. Podjetje je vodilno v svojem segmentu v Sloveniji, na Hrvaškem, Romuniji in Južnoafriški republiki. Možnost kasnejše redne zaposlitve.Št. prostih mest: 1 . Trajanje: DLJE ČASA (OBČASNO) . Delovnik: Dopoldan. Šifra: 321069 . Narava dela: začasno in občasno delo "
321067,DELO V PEKARNI,PO DOGOVORU...,PIRAN,Pogoj je starost nad 18 let.Št. prostih mest: 1 . Trajanje: DLJE ČASA (OBČASNO) . Delovnik: Po dogovoru. Šifra: 321067 . Narava dela: začasno in občasno delo 
321066,FIZIČNA DELA,5.07 €/h neto (6.00 €/h bruto),LJUBLJANA,Podjetje išče osebo za brušenje in lakiranje okvirjev. Pogoj je starost nad 18 let. Prijave + CV sprejemajo na e-mail.Št. prostih mest: 1 . Trajanje: 2 TEDNA . Delovnik: Dopoldan. Šifra: 321066 
321064,DELO V PROIZVODNJI,4.56 €/h neto (5.40 €/h bruto),SEŽANA,"Pomoč pri delu v proizvodnji, pakiranje, embaliranje izdelkov, soljenje pršutov itd. Delo je lahko tudi samo v dopoldanskem času.Št. prostih mest: 5 . Trajanje: JULIJ, AVGUST, SEPTEMBER . Delovnik: Dopoldan. Šifra: 321064 . Narava dela: začasno in občasno delo "
321063,MARKETING,5.75 €/h neto (6.80 €/h bruto),LJUBLJANA,"Delo bo obsegalo: komunikacijo s kupci na družbenih omrežjih, prevajanje strokovnih člankov ter tekstov. Priprava objav za socialna omrežja. Vnos vsebin v spletno trgovino. Priprava vsebin za e-mail marketing. Pogoji: odlično znanje nemščine, smisel za pisanje poljudnih člankov. Prednosti: dodaten tuj jezik. Znanje digitalnega marketinga: email marketing, Facebook, Instagram, FB Ads Manager, Google Analytics, Mailchimp RN. Poznavanje orodij: Indesign, Photoshop ali katero drugo.Št. prostih mest: 1 . Trajanje: DLJE ČASA (OBČASNO) . Delovnik: Dopoldan. Šifra: 321063 . Narava dela: začasno in občasno delo "
321061,POMOČ V KUHINJIPOMIVALEC,5.50 €/h neto (6.51 €/h bruto),ANAKRAN,"Podjetje išče osebo za pomivanje posode. Pogoj je starost nad 18 let. Plačilo 6,51 - 7,69 €/h.Št. prostih mest: 1 . Trajanje: DLJE ČASA (OBČASNO) . Delovnik: Izmensko. Šifra: 321061 . Narava dela: začasno in občasno delo "
321059,DIGITALNI MARKETINGODNOSI Z JAVNOSTMI,PO DOGOVORU...,RADOMLJE,"Klub išče vsestransko osebo za delo PR (odnosi z javnostmi). Pogoj: samoiniciativnost, prokativnost, športnik po duši, poznavanje in uporaba socialnih omrežij.... Delo je fleksibilno in dinamično. Zaželeno je prednostno delo na tem področju. Prijavo s CV pošljite na e-naslov.Št. prostih mest: 1 . Trajanje: DLJE ČASA (OBČASNO) . Delovnik: Po dogovoru. Šifra: 321059 . Narava dela: začasno in občasno delo "
321058,"MARKETINGUREJANJE DRUŽ. OMREŽIJ (FB,IN,TW)",5.07 €/h neto (6.00 €/h bruto),SLOVENIJA,"Podjetje išče izkušene osebe za oglaševanje na FB (business account). Iščejo skrbnika za spletno trgovino.  Pogoji: izkušnje na tem delu, starost nad 22. let, samostojnost.  Za več informacij pokliči.Št. prostih mest: 1 . Trajanje: DLJE ČASA (OBČASNO) . Delovnik: Po dogovoru. Šifra: 321058 . Narava dela: začasno in občasno delo "
321053,PROJEKTIRANJE,PO PROJEKTU...,LJUBLJANA,"V arhitekturnem biroju iščejo sodelavca/ko. Ukvarjajo se z novogradnjami, prenovami, notranjim oblikovanjem, legalizacijami in podobnim. Prednost imajo študenti/ke višjih letnikov. Zainteresirani pošljite predstavitev na e-mail.Št. prostih mest: 1 . Trajanje: DLJE ČASA (OBČASNO) . Delovnik: Po dogovoru. Šifra: 321053 . Narava dela: začasno in občasno delo "
321045,POMOČ V STREŽBI,5.49 €/h neto (6.50 €/h bruto),LJUBLJANA,"Iščejo študente/ke za delo v lokalu, ki obratuje le med tednom. Zaželene so izkušnje. Dela se po dogovoru.Št. prostih mest: 1 . Trajanje: DLJE ČASA (OBČASNO) . Delovnik: Po dogovoru. Šifra: 321045 . Narava dela: začasno in občasno delo "
321044,KLICNI CENTERPRODAJA,5.00 €/h neto (5.92 €/h bruto),LJUBLJANA BEŽIGRAD,"Agent/ka za prodajo na področju oglaševanja in marketinga. Zagotavljajo prilagojen delovnik in možnost kasnejše redne zaposlitve. Pogoj je starost nad 18 let. Plačilo znaša 5,92 € bruto/h + stimulacija + kosilo. Prijavo s telefonsko številko pošlji na e-naslov.Št. prostih mest: 2 . Trajanje: DLJE ČASA (OBČASNO) . Delovnik: Dopoldan. Šifra: 321044 . Narava dela: začasno in občasno delo "
321041,POMOČ V STREŽBIČIŠČENJE,4.56 €/h neto (5.40 €/h bruto),PIRANO,"Podjetje potrebuje polnoletni, vestni in zanesljivi osebi za pomoč v strežbi ter čiščenju lokala. Delovni čas je po dogovoru in potrebi. Interesenti naj pokličejo ali pošljejo vlogo na kontakt podjetja.Št. prostih mest: 2 . Trajanje: DO 31. 8. 2020 . Delovnik: Po dogovoru. Šifra: 321041 . Narava dela: začasno in občasno delo "
321040,POMOČ V KUHINJI,4.56 €/h neto (5.40 €/h bruto),PIRANO,"Podjetje potrebuje natančno, vestno in zanesljivo osebo za delo in pomoč v kuhinji. Delo zajema pomivanje posode ter ostala pomožna dela. Interesenti naj pokličejo ali pošljejo vlogo na kontakt podjetja.Št. prostih mest: 1 . Trajanje: DO 31. 8. 2020 . Delovnik: Po dogovoru. Šifra: 321040 . Narava dela: začasno in občasno delo "
321037,STREŽBA,6.50 €/h neto (7.69 €/h bruto),BREZOVICA PRI LJUBLJANI,Iščejo osebo za delo v baru na bencinskem servisu v prijetnem kolektivu. Delo poteka po dogovoru in je organizirano v dveh izmenah med 6. in 22. uro. Urnik prilagodljiv. Zaželene so predhodne izkušnje z delom v baru.Št. prostih mest: 1 . Trajanje: DLJE ČASA (OBČASNO) . Delovnik: Po dogovoru. Šifra: 321037 . Narava dela: začasno in občasno delo 
321035,STREŽBA,6.00 €/h neto (7.10 €/h bruto),LJUBLJANA,"Podjetje išče zanesljivi, urejeni in delovni osebi za delo v prijetnem in mirnem lokalu v Ljubljani. Zaželene so izkušnje. Pogoj je starost nad 18 let.Št. prostih mest: 2 . Trajanje: DLJE ČASA (OBČASNO) . Delovnik: Po dogovoru. Šifra: 321035 . Narava dela: začasno in občasno delo "
321031,PRODAJA,5.00 €/h neto (5.92 €/h bruto),PORTOROŽ,Podjetje išče primerno osebo za delo v trgovini z oblačili. Pogoj je starost nad 18 let.Št. prostih mest: 1 . Trajanje: DLJE ČASA (OBČASNO) . Delovnik: Izmensko. Šifra: 321031 . Narava dela: začasno in občasno delo 
321030,MIZARSKA DELA,5.49 €/h neto (6.50 €/h bruto),MAJŠPERK,"Podjetje potrebuje polnoletno osebo za pomožna dela v mizarski delavnici in za pomoč pri montaži lastnih izdelkov na terenu. Dela se po potrebi in dogovoru , v dopoldanskem času. Za prijavo pokličite na kontakt podjetja ali jo pošljite na njihov e-mail.Št. prostih mest: 1 . Trajanje: PO DOGOVORU . Delovnik: Dopoldan. Šifra: 321030 . Narava dela: začasno in občasno delo "
321029,STREŽBA,6.00 €/h neto (7.10 €/h bruto),LJUBLJANA BEŽIGRAD,"Pričakujejo urejeno, vestno in marljivo osebo z zmožnostjo timskega dela in občutkom za odgovornost. Oseba naj ima pozitiven odnos do dela, izkušnje v strežbi in pripravi pijač ter skrb za urejenost delovnega okolja.Št. prostih mest: 1 . Trajanje: DLJE ČASA (OBČASNO) . Delovnik: Izmensko. Šifra: 321029 . Narava dela: začasno in občasno delo "
321028,POMOČ V STREŽBI,5.00 €/h neto (5.92 €/h bruto),CAFFE ORHIDEJA,Potrebujejo osebo za delo v strežbi. Fleksibilen delovnik.Št. prostih mest: 2 . Trajanje: DLJE ČASA (OBČASNO) . Delovnik: Izmensko. Šifra: 321028 . Narava dela: začasno in občasno delo 
321027,ANKETIRANJE PO TELEFONU,4.56 €/h neto (5.40 €/h bruto),MARIBOR,"Iščejo študenta/ki za izvajanje kratkih anket po telefonu v klicnem centru. Možnost napredovanje in stimulacije. Delo je pretežno v dopoldanskem času, morda le 1 do 2 x mesečno popoldan.Št. prostih mest: 2 . Trajanje: DLJE ČASA (OBČASNO) . Delovnik: Dopoldan. Šifra: 321027 . Narava dela: začasno in občasno delo "
321033,FIZIČNA DELAUREJANJE OKOLICE,4.56 €/h neto (5.40 €/h bruto),POSTOJNA,"Urejanje okolice (pospravljanje, grabljenje, ipd.). Pomoč bodo potrebovali v začetku meseca avgusta.Št. prostih mest: 1 . Trajanje: NEKAJ DNI . Delovnik: Po dogovoru. Šifra: 321033 "
321032,ADMINISTRATIVNA DELA,4.56 €/h neto (5.40 €/h bruto),POSTOJNA,"Podjetje išče resnega, zanesljivega, urejenega in iznajdljivega študenta/ko z odličnimi komunikacijskimi sposobnostmi.  Delo obsega urejanje dokumentacije in telefonsko komunikacijo z obstoječimi strankami. Urnik je po dogovoru. Nujno za daljše obdobje, ne gre le za delo čez počitnice. Prijavo s CV-jem pošljite na e-mail.Št. prostih mest: 1 . Trajanje: DLJE ČASA (OBČASNO) . Delovnik: Dopoldan. Šifra: 321032 . Narava dela: začasno in občasno delo "
321026,DELO V PROIZVODNJIRAZVOZ HRANE,4.56 €/h neto (5.40 €/h bruto),DORNAVA,"Podjetje potrebuje polnoletno, vestno in zanesljivo osebo za pomoč v proizvodnji in dostavi mesnih izdelkov. Gre za delovnik po potrebi in dogovoru.  Interesenti naj pokličejo ali pošljejo vlogo na kontakt podjetja.Št. prostih mest: 1 . Trajanje: DLJE ČASA (OBČASNO), PO POTREBI IN DOGOVORU . Delovnik: Po dogovoru. Šifra: 321026 . Narava dela: začasno in občasno delo "
321025,PRODAJA,6.00 €/h neto (7.10 €/h bruto),LJUBLJANA,"Podjetje išče tržnika za tuje trge (EU), kjer išče nove stranke na področju spletnega oglaševanja. Klicatelj mora imeti odlično znanje angleščine in osnovno računalniška znanje. Iščejo komunikativne, prodorne in samoiniciativne kandidate. Ob uspešnem delu je tržnik upravičen do stimulacije na prodajo. Pošljite CV na e-mail.Št. prostih mest: 1 . Trajanje: DLJE ČASA (OBČASNO) . Delovnik: Dopoldan. Šifra: 321025 . Narava dela: začasno in občasno delo "
321024,NEGOVANJE,5.50 €/h neto (6.51 €/h bruto),DOMŽALE,Podjetje išče primerno osebo za pomoč pri negi v domu upokojencev. Pogoj je srednja ali višja zdravstvena šola. Prednost imajo absolventi/višji letniki višje zdravstvene šole.Št. prostih mest: 2 . Trajanje: DLJE ČASA (OBČASNO) . Delovnik: Izmensko. Šifra: 321024 . Narava dela: začasno in občasno delo 
321022,POMOČ V KUHINJI,5.50 €/h neto (6.51 €/h bruto),TUHINJ,Potrebujejo osebo za pomoč v kuhinji.Št. prostih mest: 1 . Trajanje: DLJE ČASA (OBČASNO) . Delovnik: Po dogovoru. Šifra: 321022 . Narava dela: začasno in občasno delo 
321021,STREŽBA HRANE IN PIJAČE,6.50 €/h neto (7.69 €/h bruto),TUHINJ,"Potrebujejo simpatično, urejeno in zanesljivo osebo za delo v strežbi hrane  in pijače.Št. prostih mest: 1 . Trajanje: DLJE ČASA (OBČASNO) . Delovnik: Po dogovoru. Šifra: 321021 . Narava dela: začasno in občasno delo "
321015,POMOČ V STREŽBI,5.07 €/h neto (6.00 €/h bruto),LJUBLJANA,"Iščejo polnoletno prijazno, komunikativno, pošteno, resno in natančno osebo za delo v manjšem caffe baru v Štepanjskem naselju. Delo se izvaja izmensko oziroma bolj v popoldanskem času. Večinoma med vikendom. Zaželene izkušnje v strežbi.Št. prostih mest: 1 . Trajanje: PO DOGOVORU . Delovnik: Po dogovoru. Šifra: 321015 . Narava dela: začasno in občasno delo "
321012,POMOČ V KUHINJI,5.50 €/h neto (6.51 €/h bruto),BERNARDIN,"Podjetje išče primerno osebo za pomoč v kuhinji (priprava burgerjev). Izkušnje zaželene, niso pogoj.Št. prostih mest: 1 . Trajanje: DO OKTOBRA 2020 . Delovnik: Po dogovoru. Šifra: 321012 . Narava dela: začasno in občasno delo "
321011,DELO V SKLADIŠČU,4.56 €/h neto (5.40 €/h bruto),PREBOLD,"Podjetje išče več polnoletnih oseb za pomoč v skladišču. Delovni čas bo potekal izmensko oziroma po dogovoru. Bruto urna postavka je odvisna glede na izmeno dela: dopoldan 5,40 €, popoldan in nočna je plačana po višji urni postavki + 10% dodatka na štiriizmensko delo. Ob urni postavki nudijo tudi malico.Št. prostih mest: 10 . Trajanje: DLJE ČASA (OBČASNO) . Delovnik: Izmensko. Šifra: 321011 . Narava dela: začasno in občasno delo "
321009,DELO S STRANKAMIFINANČNE STORITVE,PO DOGOVORU...,LJUBLJANA,"Za tržno usmerjene in komunikativne študente,ki jih zanima delo na finančnem področju,vlaganje v vrednostne papirje,ter izboljšati svoje sposobnosti organizacije in vodenja.Če se najdete v zgornjem opisu in imate željo po novem znanju s področja finančnega trga vas vabijo k prijavi. Iščejo fleksibilnost,odgovornost,komunikacijske sposobnosti,veselje do učenja.Delo pod vodstvom mentorja, šolanje za državni izpit, možnost kariernega razvoja,napredovanja,fleksibilen delovni čas,možnost zaposlitve.Št. prostih mest: 5 . Trajanje: PO DOGOVORU . Delovnik: Po dogovoru. Šifra: 321009 . Narava dela: začasno in občasno delo "
321006,POMOČ V STREŽBI,4.56 €/h neto (5.40 €/h bruto),ŠENTJANŽ,V prijetnem lokalu potrebujejo osebo za pomoč v strežbi. Delavnik je večinoma popoldan oz. gre za dogovor.Št. prostih mest: 1 . Trajanje: PO DOGOVORU . Delovnik: Popoldan. Šifra: 321006 . Narava dela: začasno in občasno delo 
321005,ZAHTEVNA ADMINISTRATIVNA DELA,5.49 €/h neto (6.50 €/h bruto),LJUBLJANA,"Podjetje išče osebo za zahtevna administrativna dela. Pogoji so: izobrazba ekonomske ali tehnične smeri (zaželeno študent zaključnih letnikov ali absolvent), napredno znanje Excela, izkušnje na področju dela s podatki in podatkovnimi bazami, aktivno znanje angleškega jezika- Delo obsega pripravo analiz in izdelavo osnovnih poročil, opravljanje podpornih nalog v oddelku trgovanja z električno energijo (izdelava in kontrola voznih redov odjema/oddaje električne energije).Št. prostih mest: 1 . Trajanje: PO DOGOVORU . Delovnik: Dopoldan. Šifra: 321005 . Narava dela: začasno in občasno delo "
321001,GRADBENA DELAZIDARSKA DELA,5.07 €/h neto (6.00 €/h bruto),ŠKOFJA LOKA - PO GORENJSKEM,"Podjetje išče kandidata za pomoč na gradbišču (pomožna dela v zidarstvu). Delovnik po dogovoru s podjetjem. Urna postavka je 6 €/h bruto, če bo kandidat priden, je lahko tudi višja.Št. prostih mest: 1 . Trajanje: DO 30. 9. 2020 OZ. PO DOGOVORU . Delovnik: Po dogovoru. Šifra: 321001 . Narava dela: začasno in občasno delo "
321000,POUČEVANJE,6.97 €/h neto (8.25 €/h bruto),LJUBLJANA,"Iščejo študenta/ko za poučevanje hrvaščine odraslih. Pogoji: izkušnje s poučevanjem odraslih, zanesljivost, komunikativnost. Urna postavka 8,25 € bruto na šolsko uro. Kratko predstavitev z opisom izkušenj pošljite na e-mail, v polje predmet pa napišite: poučevanje hrvaškega jezika.Št. prostih mest: 1 . Trajanje: DLJE ČASA (OBČASNO) . Delovnik: Po dogovoru. Šifra: 321000 . Narava dela: začasno in občasno delo "
320998,STREŽBA,5.49 €/h neto (6.50 €/h bruto),"LJUBLJANA, TACEN","Iščejo mlade, energične ljudi. Pričakujejo izkušnje v strežbi, delavnost, odgovornost, osebno urejenost, komunikativnost, organiziranost ter skrb za red in čistočo.Št. prostih mest: 3 . Trajanje: ZA DLJE ČASA (OBČASNO) . Delovnik: Izmensko. Šifra: 320998 . Narava dela: začasno in občasno delo "
320996,STREŽBA,5.20 €/h neto (6.15 €/h bruto),LJUBLJANA,V dnevnem baru na bencinski črpalki iščejo osebe za pomoč pri strežbi. Vikende in praznike so zaprti. Izkušnje niso pogoj.Št. prostih mest: 2 . Trajanje: DLJE ČASA (OBČASNO) . Delovnik: Izmensko. Šifra: 320996 . Narava dela: začasno in občasno delo 
320990,POMOČ V STREŽBI,5.59 €/h neto (6.61 €/h bruto),PORTOROŽ,Podjetje išče primerno osebo za delo. Pogoj je starost nad 18 let.Št. prostih mest: 1 . Trajanje: DLJE ČASA (OBČASNO) . Delovnik: Po dogovoru. Šifra: 320990 . Narava dela: začasno in občasno delo 
320989,DELO V KUHINJIPOMIVALEC,4.56 €/h neto (5.40 €/h bruto),PORTOROŽ,"Podjetje išče primerno osebo za delo v kuhinji, pomivalec posode. Pogoj je starost nad 18 let.Št. prostih mest: 2 . Trajanje: DO OKTOBRA 2020 . Delovnik: Izmensko. Šifra: 320989 . Narava dela: začasno in občasno delo "
320982,STREŽBA,5.50 €/h neto (6.51 €/h bruto),KRANJ,"Podjetje v mlad kolektiv vabi še eno simpatično osebo za pomoč pri strežbi. Urnik je prilagodljiv vam. Pogoji: starost nad 18 let, izkušnje, prijaznost ter veselje do dela v strežbi.Št. prostih mest: 1 . Trajanje: DLJE ČASA OZ PO DOGOVORU . Delovnik: Po dogovoru. Šifra: 320982 . Narava dela: začasno in občasno delo "
320981,ADMINISTRATIVNA DELA,5.07 €/h neto (6.00 €/h bruto),LJUBLJANA,"Znano farmacevtsko podjetje potrebuje polnoletno osebo za pomoč tehnologom pri administrativnih delih. Potrebujejo osebo, ki je natančna, vestna, organizirana in komunikativna. Pogoji so dobro znanje angleščine in MS Office (Excel-napredno). Prijavo s CV pošljite na e-naslov.Št. prostih mest: 1 . Trajanje: DLJE ČASA (OBČASNO) . Delovnik: Dopoldan. Šifra: 320981 . Narava dela: začasno in občasno delo "
320978,POMOČ V STREŽBI,5.00 €/h neto (5.92 €/h bruto),PRAGERSKO,"Strežba alkoholnih, brezalkoholnih pijač in toplih napitkov.Št. prostih mest: 2 . Trajanje: DLJE ČASA (OBČASNO) . Delovnik: Izmensko. Šifra: 320978 . Narava dela: začasno in občasno delo "
320974,ADMINISTRATIVNA DELA,5.00 €/h neto (5.92 €/h bruto),KOPER,"Administrativna dela in odkup zlata. Dela se samo ob sobotah. Pogoji: komunikativnost, simpatičnost, prilagodljivost. Zaželene izkušnje pri delu s strankami. Poleg objavljene urne postavke dodajo še stimulacijo.Št. prostih mest: 1 . Trajanje: DLJE ČASA (OBČASNO) . Delovnik: Med vikendom. Šifra: 320974 . Narava dela: začasno in občasno delo "
320972,DELO V SKLADIŠČUGRAFIČNA DELA,5.00 €/h neto (5.92 €/h bruto),SEŽANA,"Iščejo osebo, ki bi v skladišču skrbela za toplotni tisk na majice, v preostalem času pa bi pomagala pri pakiranju dnevnih naročil. Pogoji: natančnost, razumevanje grafičnega dela in polnoletnost. Možnost redne zaposlitve.Št. prostih mest: 1 . Trajanje: DLJE ČASA (OBČASNO) . Delovnik: Dopoldan. Šifra: 320972 . Narava dela: začasno in občasno delo "
320971,DELO NA TERENU,6.00 €/h neto (7.10 €/h bruto),SELCA - PO GORENJSKEM,Podjejte išče kandidata za pomoč pri krovsko kleparskih delih. Pogoj je starost nad 18 let.Št. prostih mest: 1 . Trajanje: PO DOGOVORU . Delovnik: Po dogovoru. Šifra: 320971 . Narava dela: začasno in občasno delo 
320970,PROGRAMIRANJE,7.00 €/h neto (8.28 €/h bruto),CELJE - PETROVČE (IZVOZ ARJA VAS),"Podjetje potrebuje samoiniciativne in zanesljive osebe za dlje časa - občasno, po potrebi, z možnostjo zaposlitve. Ponujajo delo v strokovnem Team-u z mednarodnimi izkušnjami, z uporabo najnovejših tehnologij in delo na novem projektu TCore - Uporaba najnovejših tehnologij ( C# .NET Core 3.16 Web API (Backend) oz. Angular 9.16 (Frontend)). Zaželene so izkušnje pri programiranju, po možnosti v zgoraj navedenih tehnologijah.Št. prostih mest: 2 . Trajanje: DLJE ČASA (OBČASNO), PO POTREBI . Delovnik: Dopoldan. Šifra: 320970 . Narava dela: začasno in občasno delo "
320969,NEGOVANJESOCIALNA OSKRBA,5.66 €/h neto (6.70 €/h bruto),KRANJ IN ŠENČUR Z OKOLICO,"SOCIALNA OSKRBA na terenu, prevoz s službenim vozilom. Pogoji: izpit B kategorije vsaj 1 leto ter veselje do dela s starejšimi in invalidnimi osebami. Zaželena ustrezna izobrazba (bolničar ali zdravstveni tehnik, medicinska sestra, diplomirana med.sestra) ali  NPK (socialni oskrbnik). Prijavo pošljite na e-naslov. Več informacij dobite po telefonu.Št. prostih mest: 2 . Trajanje: DO KONCA SEPTEMBRA . Delovnik: Izmensko. Šifra: 320969 . Narava dela: začasno in občasno delo "
320966,FIZIČNA DELA,4.65 €/h neto (5.50 €/h bruto),LJUBLJANA,"Znano farmacevtsko podjetje potrebuje polnoletno osebo za granuliranje. Na začetku delo poteka v pralnici. Dela se v treh izmenah. Dnevna urna postavka 5,50 € bruto, nočna urna postavka 6,00 € bruto. Možnost kasnejše zaposlitve. Prijavo s CV pošlji na e-naslov.Št. prostih mest: 1 . Trajanje: DLJE ČASA (OBČASNO) . Delovnik: Izmensko. Šifra: 320966 . Narava dela: začasno in občasno delo "
