sifra,naziv,placa,lokacija,opis
321416,BLAGAJNIKADMINISTRATIVNA DELA,5.00 €/h neto (5.92 €/h bruto),MARIBOR,"Podjetje potrebuje zanesljivo osebo za pomoč pri blagajniških delih. Delo zajema izdajanje in obračunavanje potnih nalogov, plačevanje položnic, pripravo pošte in druga dela po naročilu. Prijavo je potrebno poslati na elektronski naslov.Št. prostih mest: 1 . Trajanje: DLJE ČASA (OBČASNO) . Delovnik: Dopoldan. Šifra: 321416 . Narava dela: začasno in občasno delo "
321415,POMOČNIK VZGOJITELJICE/VZGOJITELJA,4.56 €/h neto (5.40 €/h bruto),CELJE,"Iščejo polnoletni osebi iz okolice za pomoč na oddelku v vrtcu. Pogoj je izobrazba predšolske vzgoje ali druge pedagoške smeri. Za dodatne informacije pokličite na kontakt podjetja.Št. prostih mest: 2 . Trajanje: DO 30. 9., LAHKO DLJE . Delovnik: Dopoldan. Šifra: 321415 . Narava dela: začasno in občasno delo "
321413,ADMINISTRATIVNA DELA,5.07 €/h neto (6.00 €/h bruto),LJUBLJANA,"V oddelku selekcije iščejo študenta/tko za pomoč pri administrativnih nalogah. Zaželeno je, da je smer študija povezana s kadrovskim področjem.Št. prostih mest: 1 . Trajanje: DLJE ČASA (OBČASNO) . Delovnik: dopoldan. Šifra: 321413 . Narava dela: začasno in občasno delo "
321412,UREDNIK SPLETNIH VSEBIN,5.50 €/h neto (6.51 €/h bruto),KAMNIK,Podjetje potrebuje polnoletno osebo za delo urednik spletnih vsebin (urejanje spletne strani podjetja). Fleksibilen delovnik. Možnost kasnejše redne zaposlitve.Št. prostih mest: 1 . Trajanje: DLJE ČASA (OBČASNO) . Delovnik: Dopoldan. Šifra: 321412 . Narava dela: začasno in občasno delo 
321411,KOMERCIALNA DELA,5.50 €/h neto (6.51 €/h bruto),PO SLOVENIJI,"Podjetje potrebuje polnoletno osebo za komercialna dela po Sloveniji (promocija in prodaja izdelkov, načrtovanje prodaje, pridobivanje novih strank, skrb za obstoječe stranke).  Kasneje možnost redne zaposlitve.Št. prostih mest: 1 . Trajanje: DLJE ČASA (OBČASNO) . Delovnik: Dopoldan. Šifra: 321411 . Narava dela: začasno in občasno delo "
321410,DELO NA RECEPCIJIDELO NA RECEPCIJI IN V STREŽBI,5.00 €/h neto (5.92 €/h bruto),LJUBLJANA FUŽINE,Delo na recepciji in v strežbi tenis kluba. Urnik po dogovoru. Za prijavo pokliči.Št. prostih mest: 1 . Trajanje: DLJE ČASA (OBČASNO) . Delovnik: Izmensko. Šifra: 321410 . Narava dela: začasno in občasno delo 
321408,PRODAJA,4.56 €/h neto (5.40 €/h bruto),LJUBLJANA CENTER,Prodaja ženskega tekstila. Zaželene izkušnje. Poleg urne postavke je plačilo tudi stimulativno (glede na uspeh).Št. prostih mest: 2 . Trajanje: DLJE ČASA (OBČASNO) . Delovnik: Po dogovoru. Šifra: 321408 . Narava dela: začasno in občasno delo 
321407,ČIŠČENJE,4.56 €/h neto (5.40 €/h bruto),LOKA PRI ZIDANEM MOSTU,Za čiščenje in razkuževanje potrebujejo polnoletno osebo.Št. prostih mest: 1 . Trajanje: PO DOGOVORU . Delovnik: Izmensko. Šifra: 321407 . Narava dela: začasno in občasno delo 
321406,POMOČ V TRGOVINI,4.56 €/h neto (5.40 €/h bruto),CELJE,"Pomoč v trgovini za male živali. Delo poteka med tednom in vikendi, po potrebi in dogovoru. Pogoj je starost nad 18 let. Zaželeni sta komunikativnost in predhodno znanje o malih živalih. Kandidat/ka z izkušnjami z delom v trgovini oz. z živalmi bo imela prednost.Št. prostih mest: 1 . Trajanje: DLJE ČASA (OBČASNO) . Delovnik: Izmensko. Šifra: 321406 . Narava dela: začasno in občasno delo "
321405,INŠTRUKCIJE,9.29 €/h neto (11.00 €/h bruto),LJUBLJANA,"Podjetje potrebuje inštruktorja/inštruktorico matematike na vsš/uni nivoju. Zraven urne postavke vam pripada še nagrada, ki je odvisna od izkušenj.Št. prostih mest: 1 . Trajanje: DLJE ČASA (OBČASNO) . Delovnik: Popoldan. Šifra: 321405 . Narava dela: začasno in občasno delo "
321404,POMOČ PRI PRODAJI,4.56 €/h neto (5.40 €/h bruto),MARIBOR,"Podjetje potrebuje polnoletno, vestno in komunikativno osebo za delo in pomoč v prodajalni obutve in modnih dodatkov. Pogoj: aktivno znanje slovenskega jezika. Dela se v dopoldanskem in popoldanskem času, po dogovoru in potrebi. Interesenti naj pokličejo na kontakt podjetja.Št. prostih mest: 1 . Trajanje: DLJE ČASA (OBČASNO) . Delovnik: Izmensko. Šifra: 321404 . Narava dela: začasno in občasno delo "
321403,DELO V KUHINJI,4.56 €/h neto (5.40 €/h bruto),SEŽANA,"Pomoč pri delu v kuhinji bolnišnice: čiščenje, pomivanje posode ipd. Urnik je po dogovoru. Pogoj je starost nad 18 let. Prijave z vašo telefonsko številko sprejemajo na navedeni mail.Št. prostih mest: 2 . Trajanje: POLETJE 2020 . Delovnik: Po dogovoru. Šifra: 321403 . Narava dela: začasno in občasno delo "
321402,STREŽBA,5.07 €/h neto (6.00 €/h bruto),LJUBLJANA BEŽIGRAD,"Podjetje išče simpatično, izkušeno osebo za pomoč pri popoldanskem delu v palačinkarnici. Palačinkarnica je odprta od ponedeljka do sobote, od 15. do 21. ure. Delo obsega sprejem naročila, postrežbo toplih napitkov,...Št. prostih mest: 1 . Trajanje: DLJE ČASA (OBČASNO) . Delovnik: Popoldan. Šifra: 321402 . Narava dela: začasno in občasno delo "
321401,PRODAJADELO V PEKARNI,5.00 €/h neto (5.92 €/h bruto),BEŽIGRAD,Podjetje potrebuje osebo za prodajo kruha in pekovskih izdelkov. Delo poteka predvsem med vikendi. Pogoj je starost nad 18 let.Št. prostih mest: 1 . Trajanje: DLJE ČASA (OBČASNO) . Delovnik: Izmensko. Šifra: 321401 . Narava dela: začasno in občasno delo 
321400,KOZMETIČNE STORITVE,PO DOGOVORU...,LJUBLJANA,"Podjetje išče primerno osebo za izvajanje nege nohtov, manikure in delo s strankami. Pogoja: znanje izvajanja kozm. storitev ter modeliranja nohtov z gelom in permanentnim lakiranjem in starost nad 18 let. Ponujajo stimulativno plačilo.  Zaželene so izkušnje. Prijave sprejemajo na email.Št. prostih mest: 1 . Trajanje: DLJE ČASA (OBČASNO) . Delovnik: Po dogovoru. Šifra: 321400 . Narava dela: začasno in občasno delo "
321399,STREŽBADELO V SLAŠČIČARNI,5.00 €/h neto (5.92 €/h bruto),KAMNIK,"Podjetje potrebuje polnoletno osebo za delo v slaščičarni (strežba). Prednost kandidati/ke s statusom študenta/ke. Delo je fleksibilno (med tednom in vikendi po dogovoru). Plačilo od 5,92  €/h bruto dalje.Št. prostih mest: 1 . Trajanje: DLJE ČASA (OBČASNO) . Delovnik: Izmensko. Šifra: 321399 . Narava dela: začasno in občasno delo "
321398,DELO V SKLADIŠČUDELO NA TERENU,6.00 €/h neto (7.10 €/h bruto),LJUBLJANA,"Delo v skladišču in dostava blaga (nadomestni deli za motorna vozila) kupcem. Pogoji: starost nad 21 let, vsaj dve leti vozniški izpit B kategorije, zanesljivost in odgovornost. Pošljite prijavo z življenjepisom na e-mail s pripisom za ŠTUDENTSKO DELO.Št. prostih mest: 1 . Trajanje: DO 31. 8. 2020 . Delovnik: Po dogovoru. Šifra: 321398 . Narava dela: začasno in občasno delo "
321397,SELITVE,8.00 €/h neto (9.47 €/h bruto),MARIBOR,"Potrebujejo 3 fizično močnejše osebe za prenašanje starinskega pohištva iz stanovanja v Mariboru v skladišče v Ljubljani. Pohištvo bo že razstavljeno. Sicer oblikujejo tim za selitve za kasnejše sodelovanje, vendar za ta primer potrebujejo osebe, spretne z orodjem, da bi pohištvo tudi same razstavljale ali sestavljale. Kontakt izključno na mail.Št. prostih mest: 3 . Trajanje: 30. 7. 2020, NAPREJ PO DOGOVORU . Delovnik: Dopoldan. Šifra: 321397 "
321396,ADMINISTRATIVNA DELA,5.00 €/h neto (5.92 €/h bruto),LJUBLJANA,"V uspešnem mednarodnem drogerijskem podjetju k sodelovanju vabijo študenta/ko za administrativno delo v sprejemni pisarni podjetja. Pogoji: starost nad 18 let, napredno znanje MS Office računalniških orodij, znanje nemškega jezika je prednost, zmožnost večopravilnosti v dinamičnem okolju, komunikativnost in samoiniciativnost, poštenost, zanesljivost in osebna urejenost.Št. prostih mest: 1 . Trajanje: DLJE ČASA (OBČASNO) . Delovnik: Dopoldan. Šifra: 321396 . Narava dela: začasno in občasno delo "
321395,STREŽBA,4.56 €/h neto (5.40 €/h bruto),HRASTNIK,Kavarna išče osebo za pomoč v strežbi.Št. prostih mest: 1 . Trajanje: DLJE ČASA (OBČASNO) . Delovnik: Po dogovoru. Šifra: 321395 . Narava dela: začasno in občasno delo 
321394,POMOČ V TRGOVINI,5.07 €/h neto (6.00 €/h bruto),SREDNJA VAS PRI KAMNIKU,"Potrebujejo polnoletno osebo za delo v živilski trgovini (delo na blagajni, polnjenje polic, skrb za čistočo...). Fleksibilen delovnik.Št. prostih mest: 1 . Trajanje: DLJE ČASA (OBČASNO) . Delovnik: Izmensko. Šifra: 321394 . Narava dela: začasno in občasno delo "
321392,ČIŠČENJE,4.80 €/h neto (5.68 €/h bruto),SORA,"Čiščenje skidov (posod, sestav elementov,...). Za več informacij pokličite gospoda.Št. prostih mest: 1 . Trajanje: CCA DO 6. 8. 2020 . Delovnik: Po dogovoru. Šifra: 321392 "
321390,PRODAJA,4.56 €/h neto (5.40 €/h bruto),CELJE,"V svoj kolektiv vabijo komunikativni in odgovorni osebi, ki imata zanimanje za  modo in veselje do delo s strankami. Razgovori bodo potekali 5. 8. 2020, ob 11.00, v trgovini v Celju.Št. prostih mest: 2 . Trajanje: DLJE ČASA (OBČASNO) . Delovnik: Izmensko. Šifra: 321390 . Narava dela: začasno in občasno delo "
321389,DELO V AVTOPRALNICI,5.50 €/h neto (6.51 €/h bruto),KAMNIK,"Podjetje potrebuje polnoletni osebi za delo v avtopralnici. Delo poteka tudi med vikendi in prazniki, po potrebi, dogovoru in za daljše obdobje. Pogoji: komunikativnost, resnost in vestnost. Prijavo pošlji skupaj z življenjepisom na e-naslov.Št. prostih mest: 2 . Trajanje: PO DOGOVORU . Delovnik: Izmensko. Šifra: 321389 . Narava dela: začasno in občasno delo "
321388,MASER,7.50 €/h neto (8.88 €/h bruto),LJUBLJANA,"Iščejo urejeno in samostojno osebo za pomoč v masažnem salonu (masaže v parih oz. masaže v popoldanskem času ter ob vikendih). Nujna je hitra odzivnost, zato so dobrodošli/e maserji/ke, stanujoči/e v bližini Ljubljana center.Št. prostih mest: 1 . Trajanje: POPOLDANSKI ČAS IN VIKENDI . Delovnik: Popoldan. Šifra: 321388 . Narava dela: začasno in občasno delo "
321386,PROJEKTNO DELO,6.00 €/h neto (7.10 €/h bruto),LJUBLJANA,Iščejo absolventa/ko strojništva (zaželena konstrukterska smer) za pomoč pri 3D konstruiranju. Obvezno poznavanje CAD modelirnih programov (npr. Creo). Stimulativno plačilo in možnost kasnejše zaposlitve. Prijavo in CV pošljite na mail.Št. prostih mest: 1 . Trajanje: DLJE ČASA (OBČASNO) . Delovnik: Dopoldan. Šifra: 321386 . Narava dela: začasno in občasno delo 
321385,POMOČ V STREŽBI,5.00 €/h neto (5.92 €/h bruto),KOPER,Podjetje išče primerni osebi za pomoč v strežbi. Pogoj je starost nad 18 let. Zaželene izkušnje.Št. prostih mest: 2 . Trajanje: DLJE ČASA (OBČASNO) . Delovnik: Izmensko. Šifra: 321385 . Narava dela: začasno in občasno delo 
321383,ČIŠČENJE,8.45 €/h neto (10.00 €/h bruto),MARIBOR,"Podjetje potrebuje vestno, zanesljivo in natančno osebo za občasno čiščenje poslovnih prostorov v popoldanskem času. Delo poteka dlje časa, po potrebi, le-to traja ca. 3 ure. Interesenti naj pošljejo vlogo na email podjetja ter priložijo kratek življenjepis.Št. prostih mest: 1 . Trajanje: DLJE ČASA (OBČASNO) . Delovnik: Popoldan. Šifra: 321383 . Narava dela: začasno in občasno delo "
321382,LAŽJA FIZIČNA DELADELO Z ŽIVALMI,8.45 €/h neto (10.00 €/h bruto),ANDREJCI,"Podjetje potrebuje osebo, ki bo skrbela za kokoši. Dela se 2x na dan od 6. do 6.30 ure in od 20. do 20.30 ure. Kokoši se zjutraj spusti iz hleva, se jih nahrani in zvečer zapre v hlev. Delo je odgovorno, zato se javite samo resne osebe. Prijave s kratkim opisom sprejemajo na elektronski naslov.Št. prostih mest: 1 . Trajanje: OD 16. DO 29. 8. 2020, KASNEJE PO DOGOVORU . Delovnik: Dopoldan. Šifra: 321382 . Narava dela: začasno in občasno delo "
321381,DELO NA TERENUMONTAŽA,5.07 €/h neto (6.00 €/h bruto),BLED,"Pomoč pri montaži stavbnega pohištva. Enostavna dela. Potrebne so izkušnje na področju kateregakoli dela, točnost, natančnost in odgovornost.Št. prostih mest: 1 . Trajanje: DLJE ČASA, PO DOGOVORU . Delovnik: Dopoldan. Šifra: 321381 . Narava dela: začasno in občasno delo "
321380,DELO V SKLADIŠČU,4.56 €/h neto (5.40 €/h bruto),NOVA GORICA,"Pomoč pri delu v skladišču (komisioniranje blaga, prevzem in pospravljanje embalaže, čiščenje skladiščnih prostorov) in pomoč pri razvozu blaga (razkladanje blaga).Št. prostih mest: 2 . Trajanje: NAJMANJ DO 31. 8. 2020 . Delovnik: Dopoldan. Šifra: 321380 . Narava dela: začasno in občasno delo "
321378,STREŽBA,4.65 €/h neto (5.50 €/h bruto),KAMNIK,Iščejo polnoletni osebi za delo v strežbi. Prednost kandidat/ka z izkušnjami. Fleksibilen delovnik. Možna stimulacija v primeru delovne uspešnosti.Št. prostih mest: 2 . Trajanje: DLJE ČASA (OBČASNO) . Delovnik: Izmensko. Šifra: 321378 . Narava dela: začasno in občasno delo 
321377,POMOČ PRI PRODAJI,4.56 €/h neto (5.40 €/h bruto),PTUJ,"Podjetje potrebuje polnoletni, zanesljivi, vestni in komunikativni osebi za pomoč pri prodaji obutve in usnjene galanterije. Delovni čas je izmenski, po dogovoru in potrebi. Interesenti naj se oglasijo osebno v prodajalni.Št. prostih mest: 2 . Trajanje: DLJE ČASA (OBČASNO) . Delovnik: Izmensko. Šifra: 321377 . Narava dela: začasno in občasno delo "
321376,PRODAJAPRIPRAVA HRANE,4.56 €/h neto (5.40 €/h bruto),CELJE,Prodaja kruha in peciva ter izdelava sendvičev. Pričetek dela je takoj.Št. prostih mest: 1 . Trajanje: DLJE ČASA (OBČASNO) . Delovnik: Izmensko. Šifra: 321376 . Narava dela: začasno in občasno delo 
321375,POMOČ PRI PRODAJI,4.56 €/h neto (5.40 €/h bruto),BREZOVICA PRI LJUBLJANI,"Podjetje išče več polnoletnih oseb za pomoč pri prodaji. Bruto urna postavka za delo ob nedeljah je 8,28 € za delo od ponedeljka do sobote pa 5,40 €.Št. prostih mest: 3 . Trajanje: POLETJE 2020 . Delovnik: Po dogovoru. Šifra: 321375 . Narava dela: začasno in občasno delo "
